 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
80,11446700,4,0,24,0,6,6,6,0,0,0,0,0,2.096674151,0.349445692,3815566.667,6607014.615,11400000,1001,11400000,3815566.667,6607014.615,11400000,1001,0,0,0,0,0,0,0,0,0,80,0,0.349445692,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,2010,0,2010,2010,11400000,0,11400000,11400000,DDoS
21,1,2,0,14,0,14,0,7,9.899494937,0,0,0,0,14000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,64,0,2000000,0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14,7,0,64,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0,0,0,0,0,0,0,0,FTP-Patator
52659,267,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0,0,161048.6891,11235.95506,133.5,185.9690835,265,2,267,133.5,185.9690835,265,2,0,0,0,0,0,0,0,0,0,60,0,11235.95506,0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0,60,0,0,0,0,0,0,3,43,0,0,123,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
53,30607,1,1,81,163,81,81,81,0,163,163,163,0,7972.032542,65.34452903,30607,0,30607,30607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,32.67226451,32.67226451,81,163,108.3333333,47.34272207,2241.333333,0,0,0,0,0,0,0,0,1,162.5,81,163,20,0,0,0,0,0,0,1,81,1,163,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
53,27757,2,2,94,256,47,47,47,0,128,128,128,0,12609.43186,144.1077926,9252.333333,16020.3153,27751,2,2,2,0,2,2,4,4,0,4,4,0,0,0,0,40,40,72.05389631,72.05389631,47,128,79.4,44.36552716,1968.3,0,0,0,0,0,0,0,0,1,99.25,47,128,40,0,0,0,0,0,0,2,94,2,256,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
80,99688,1,1,0,0,0,0,0,0,0,0,0,0,0,20.0625953,99688,0,99688,99688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,10.03129765,10.03129765,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,254,118,0,32,0,0,0,0,0,0,0,0,BENIGN
22,14062821,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,337.9833961,3.76880286,270438.8654,732322.8697,2640157,4,11700000,584982.3,1030764.702,2701486,523,14100000,453635.1935,908803.4148,2640157,4,0,0,0,0,680,1032,1.493299246,2.275503613,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,95.61904762,85.78125,680,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0,0,0,0,0,0,0,0,SSH-Patator
80,1800186,3,6,26,11607,20,0,8.666666667,10.26320288,5755,0,1934.5,2529.124572,6462.110026,4.999483387,225023.25,636156.83,1799431,3,622,311,435.5777772,619,3,1800167,360033.4,804647.7688,1799431,3,0,0,0,0,72,132,1.666494462,3.332988924,0,5755,1163.3,2131.87096,4544873.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
53,48423,1,1,51,112,51,51,51,0,112,112,112,0,3366.168969,41.30268674,48423,0,48423,48423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20.65134337,20.65134337,51,112,71.33333333,35.21836642,1240.333333,0,0,0,0,0,0,0,0,1,107,51,112,20,0,0,0,0,0,0,1,51,1,112,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
80,9789452,4,4,383,370,383,0,95.75,191.5,370,0,92.5,185,76.91952522,0.817206111,1398493.143,2388270.115,5004591,114,4784861,1594953.667,2760065.738,4782003,894,9789338,3263112.667,2827010.043,5005139,1285,0,0,0,0,136,136,0.408603056,0.408603056,0,383,83.66666667,166.0527025,27573.5,0,0,0,1,0,0,0,0,1,94.125,95.75,92.5,136,0,0,0,0,0,0,4,383,4,370,29200,235,1,32,0,0,0,0,0,0,0,0,Web Attack � Brute Force
443,115490744,21,17,2216,3113,1581,0,105.5238095,356.4785574,1498,0,183.1176471,487.0826268,46.14222591,0.329030697,3121371.459,4607315.312,10000000,5,115000000,5774537.2,4955869.033,10100000,48,111000000,6915110.875,4801350.744,10100000,5,0,0,0,0,680,552,0.181832754,0.147197943,0,1581,136.6410256,410.8161637,168769.9204,0,0,0,1,0,0,0,0,0,140.2368421,105.5238095,183.1176471,680,0,0,0,0,0,0,21,2216,17,3113,29200,383,4,32,51328.81818,29806.95731,141200,42191,10000000,7970.504167,10000000,9996752,BENIGN
50838,2,2,0,12,0,6,6,6,0,0,0,0,0,6000000,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,40,0,1000000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,4965,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
8080,997166,3,3,0,18,0,0,0,0,6,6,6,0,18.05115698,6.017052326,199433.2,272289.9059,498628,555,996611,498305.5,1252.286109,499191,497420,996540,498270,1291.176982,499183,497357,0,0,0,0,92,60,3.008526163,3.008526163,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3,0,6,92,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0,0,0,0,0,0,0,0,Bot
