Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,5271779,3,1,12,0,6,0,4,3.464101615,0,0,0,0,2.276271445,0.758757148,1757259.667,2949656.652,5162649,95,5271779,2635889.5,3573377.554,5162649,109130,0,0,0,0,0,0,72,32,0.569067861,0.189689287,0,6,2.4,3.286335345,10.8,0,0,1,0,0,0,3,4,0,72,3,12,1,0,8192,29200,2,20,0,0,0,0,0,0,0,0,BENIGN
443,153756,10,5,1140,943,901,0,114,280.1793077,805,0,188.6,349.7210317,13547.4388,97.5571685,10982.57143,17232.18931,42224,4,153756,17084,22016.9088,52270,4,97563,24390.75,22055.66049,43481,280,0,332,168,65.03811233,32.51905617,0,901,130.1875,286.6301261,82156.82917,0,0,1,0,0,0,138.8666667,114,188.6,332,10,1140,5,943,65535,362,5,32,0,0,0,0,0,0,0,0,BENIGN
443,312614,15,10,974,7387,469,0,64.93333333,134.2659763,1581,0,738.7,750.4129308,26745.44326,79.97082664,13025.58333,23416.54416,75965,1,312614,22329.57143,27652.57782,76628,1,236590,26287.77778,40432.70276,98944,1,0,492,328,47.98249599,31.98833066,0,1581,321.5769231,571.0263162,326071.0538,0,0,1,0,0,0,334.44,64.93333333,738.7,492,15,974,10,7387,65535,357,6,32,0,0,0,0,0,0,0,0,BENIGN
53,62774,2,2,64,200,32,32,32,0,100,100,100,0,4205.562813,63.72064868,20924.66667,36200.15818,62725,1,1,1,0,1,1,48,48,0,48,48,0,40,80,31.86032434,31.86032434,32,100,59.2,37.24513391,1387.2,0,0,0,0,0,1,74,32,100,40,2,64,2,200,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
443,312614,15,10,974,7387,469,0,64.93333333,134.2659763,1581,0,738.7,750.4129308,26745.44326,79.97082664,13025.58333,23416.54416,75965,1,312614,22329.57143,27652.57782,76628,1,236590,26287.77778,40432.70276,98944,1,0,492,328,47.98249599,31.98833066,0,1581,321.5769231,571.0263162,326071.0538,0,0,1,0,0,0,334.44,64.93333333,738.7,492,15,974,10,7387,65535,357,6,32,0,0,0,0,0,0,0,0,BENIGN
123,66082328,2,2,96,96,48,48,48,0,48,48,48,0,2.905466648,0.060530555,22027442.67,38012592.77,65920604,80813,66001515,66001515,0,66001515,66001515,66001417,66001417,0,66001417,66001417,0,52,40,0.030265278,0.030265278,48,48,48,0,0,0,0,0,0,0,1,60,48,48,52,2,96,2,96,-1,-1,1,20,80911,0,80911,80911,65920604,0,65920604,65920604,BENIGN
53,101182,4,2,136,482,34,34,34,0,241,241,241,0,6107.805736,59.29908482,20236.4,30025.05766,66953,3,66960,22320,38653.31185,66953,3,4,4,0,4,4,0,80,40,39.53272321,19.76636161,34,241,93.14285714,101.0056576,10202.14286,0,0,0,0,0,0,108.6666667,34,241,80,4,136,2,482,-1,-1,3,20,0,0,0,0,0,0,0,0,BENIGN
443,5543,2,0,12,0,6,6,6,0,0,0,0,0,2164.892657,360.8154429,5543,0,5543,5543,5543,5543,0,5543,5543,0,0,0,0,0,0,40,0,360.8154429,0,6,6,6,0,0,0,0,0,1,0,0,9,6,0,40,2,12,0,0,252,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
443,215225,21,16,1794,15655,1317,0,85.42857143,288.9402311,1418,0,978.4375,628.2893143,81073.29539,171.9131142,5978.472222,14107.75603,51992,3,215225,10761.25,17877.65242,52417,3,169766,11317.73333,25297.46951,88838,3,0,684,520,97.57230805,74.34080613,0,1418,459.1842105,637.7607302,406738.7489,0,0,1,0,0,0,471.5945946,85.42857143,978.4375,684,21,1794,16,15655,65535,362,6,32,0,0,0,0,0,0,0,0,BENIGN
80,5806188,3,1,0,0,0,0,0,0,0,0,0,0,0,0.688920166,1935396,3331890.317,5782708,84,5806188,2903094,4072389.173,5782708,23480,0,0,0,0,0,0,104,40,0.516690124,0.172230042,0,0,0,0,0,0,0,1,0,0,0,0,0,0,104,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,BENIGN
