Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
51848,3956,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,3033.3670374115,505.5611729019,3956.0,0.0,3956,3956,3956,3956.0,0.0,3956,3956,0,0.0,0.0,0,0,0,40,0,505.5611729019,0.0,6,6,6.0,0.0,0.0,0,0,0,1,0,0,9.0,6.0,0.0,40,2,12,0,0,30,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,72959,12,7,1196,4085,917,0,99.6666666667,260.72044706,1397,0,583.5714285714,688.031699159,72383.1192861744,260.420236023,4053.2777777778,5844.1617705753,15068,1,72959,6632.6363636364,8048.8970085687,20439,1,43793,7298.8333333333,8556.1750897622,20100,4,0,264,152,164.4759385408,95.9442974821,0,1397,264.05,497.1865555831,247194.471052632,0,0,1,0,0,0,277.9473684211,99.6666666667,583.5714285714,264,12,1196,7,4085,65535,32,11,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,61127,1,1,60,185,60,60,60.0,0.0,185,185,185.0,0.0,4008.0488163987,32.7187658482,61127.0,0.0,61127,61127,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,20,20,16.3593829241,16.3593829241,60,185,101.6666666667,72.1687836487,5208.3333333333,0,0,0,0,0,1,152.5,60.0,185.0,20,1,60,1,185,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,99650843,5,7,383,11595,371,0,76.6,164.6019441,7240,0,1656.428571,2698.609263,120.1996856,0.120420456,9059167.545,30000000.0,99500000,3,99500000,24900000.0,49700000.0,99500000,1989,99700000,16600000.0,40600000.0,99500000,56,0,144,232,0.05017519,0.070245266,0,7240,921.8461538,2081.497572,4332632.141,1,0,0,0,0,1,998.6666667,76.6,1656.428571,144,5,383,7,11595,0,235,2,20,21017.0,0.0,21017,21017,99500000.0,0.0,99500000,99500000,DoS Hulk
53,23836,2,2,70,102,35,35,35.0,0.0,51,51,51.0,0.0,7215.9758348716,167.8133915086,7945.3333333333,13756.5248639812,23830,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,40,40,83.9066957543,83.9066957543,35,51,41.4,8.7635609201,76.8,0,0,0,0,0,1,51.75,35.0,51.0,40,2,70,2,102,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,31282,2,2,66,450,33,33,33.0,0.0,225,225,225.0,0.0,16495.1090083754,127.8690620804,10427.3333333333,18055.4749683672,31276,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,40,40,63.9345310402,63.9345310402,33,225,109.8,105.162731041,11059.2,0,0,0,0,0,1,137.25,33.0,225.0,40,2,66,2,450,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,201782,11,6,682,1060,437,0,62.0,132.3253566026,789,0,176.6666666667,307.2417072382,8633.0792637599,84.2493383949,12611.375,20765.8972929978,68900,1,201782,20178.2,26568.9571024365,68900,1,164280,32856.0,43507.6537002399,105174,4,0,364,200,54.5142777849,29.73506061,0,789,96.7777777778,204.0834764489,41650.0653594771,0,0,1,0,0,0,102.4705882353,62.0,176.6666666667,364,11,682,6,1060,65535,349,5,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,99967327,9,6,380,11595,374,0,42.22222222,124.4324895,5792,0,1932.5,2181.008184,119.7891387,0.150049026,7140523.357,26700000.0,99800000,1,99800000,12500000.0,35300000.0,99800000,1,137035,27407.0,53619.72022,122716,47,0,284,200,0.090029415,0.06001961,0,5792,748.4375,1578.368228,2491246.263,0,0,0,1,0,0,798.3333333,42.22222222,1932.5,284,9,380,6,11595,251,235,2,20,1995.0,0.0,1995,1995,99800000.0,0.0,99800000,99800000,DoS Hulk
80,98954856,6,6,368,11595,350,0,61.33333333,141.4477524,7240,0,1932.5,3126.682571,120.8935113,0.121267419,8995896.0,29800000.0,98800000,1,98800000,19800000.0,44200000.0,98800000,1,99000000,19800000.0,44200000.0,98800000,161,0,164,200,0.06063371,0.06063371,0,7240,920.6923077,2243.340789,5032577.897,1,0,0,0,0,1,997.4166667,61.33333333,1932.5,164,6,368,6,11595,0,235,3,20,13987.0,0.0,13987,13987,98800000.0,0.0,98800000,98800000,DoS Hulk
80,5696354,3,1,12,0,6,0,4.0,3.4641016151,0,0,0.0,0.0,2.1066106495,0.7022035498,1898784.66666667,3178479.31942436,5568233,88,5696354,2848177.0,3846740.08561431,5568233,128121,0,0.0,0.0,0,0,0,72,28,0.5266526624,0.1755508875,0,6,2.4,3.286335345,10.8,0,0,1,0,0,0,3.0,4.0,0.0,72,3,12,1,0,8192,4380,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
