Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,78284717,8,5,56,11607,20,0,7.0,5.656854249,10135,0,2321.4,4413.201989,148.9818249,0.16606051,6523726.417,20800000.0,72600000,1,76500000,10900000.0,27200000.0,72600000,1,1800072,450018.0,899284.0887,1798944,3,0,172,112,0.102191083,0.063869427,0,10135,833.5,2705.044255,7317264.423,0,0,0,1,0,0,897.6153846,7.0,2321.4,172,8,56,5,11607,256,229,6,20,3908830.0,0.0,3908830,3908830,72600000.0,0.0,72600000,72600000,DDoS
443,149,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,13422.8187919463,149.0,0.0,149,149,149,149.0,0.0,149,149,0,0.0,0.0,0,0,0,64,0,13422.8187919463,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,64,2,0,0,0,372,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5066929,8,7,387,4339,212,0,48.375,78.5292256788,1460,0,619.8571428571,646.9689401539,932.7148653553,2.9603730386,361923.5,1265255.93115937,4753151,3,5066929,723847.0,1778958.28371747,4753151,3,290305,48384.1666666667,88230.2326765983,225455,74,0,184,152,1.5788656206,1.381507418,0,1460,295.375,507.7348225206,257794.65,0,0,1,0,0,0,315.0666666667,48.375,619.8571428571,184,8,387,7,4339,8192,946,6,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
3071,44,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,136363.6364,45454.54545,44.0,0.0,44,44,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,40,20,22727.27273,22727.27273,0,6,2.0,3.464101615,12.0,0,0,1,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,90872182,8,6,56,11607,20,0,7.0,5.656854249,5840,0,1934.5,2538.919278,128.3451079,0.154062549,6990167.846,22900000.0,82900000,1,90200000,12900000.0,31000000.0,82900000,1,704618,140923.6,314574.8777,703652,4,0,172,132,0.088035742,0.066026807,0,5840,777.9333333,1804.898987,3257660.352,0,0,0,1,0,0,833.5,7.0,1934.5,172,8,56,6,11607,256,229,6,20,1001.0,0.0,1001,1001,45100000.0,53500000.0,82900000,7270804,DDoS
80,80240324,8,5,56,11607,20,0,7.0,5.656854249,10135,0,2321.4,4413.201989,145.3508588,0.162013304,6686693.667,19900000.0,68900000,1,80200000,11500000.0,25700000.0,68900000,1,49626,12406.5,22826.58347,46630,196,0,172,112,0.099700495,0.062312809,0,10135,833.5,2705.044255,7317264.423,0,0,0,1,0,0,897.6153846,7.0,2321.4,172,8,56,5,11607,256,229,6,20,1009.0,0.0,1009,1009,40100000.0,40800000.0,68900000,11300000,DDoS
48754,49,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,244897.959183673,40816.3265306122,49.0,0.0,49,49,49,49.0,0.0,49,49,0,0.0,0.0,0,0,0,40,0,40816.3265306122,0.0,6,6,6.0,0.0,0.0,0,0,0,1,0,0,9.0,6.0,0.0,40,2,12,0,0,30,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
15004,14,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,571428.5714,142857.1429,14.0,0.0,14,14,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,24,20,71428.57143,71428.57143,2,6,3.333333333,2.309401077,5.333333333,0,0,1,0,0,1,5.0,2.0,6.0,24,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
5902,60,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,133333.3333,33333.33333,60.0,0.0,60,60,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,24,20,16666.66667,16666.66667,2,6,3.333333333,2.309401077,5.333333333,0,0,1,0,0,1,5.0,2.0,6.0,24,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
443,262775,6,6,356,3782,212,0,59.3333333333,89.2248097037,1460,0,630.3333333333,677.217148828,15747.3123394539,45.666444677,23888.6363636364,39360.258399235,85400,48,262775,52555.0,46270.2605838783,88290,99,177615,35523.0,47252.6986107672,89193,48,0,132,132,22.8332223385,22.8332223385,0,1460,318.3076923077,533.9168762731,285067.230769231,0,0,1,0,0,1,344.8333333333,59.3333333333,630.3333333333,132,6,356,6,3782,8192,60,5,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
