Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53,61163,2,2,60,272,30,30,30,0,136,136,136,0,5428.118307,65.39901574,20387.66667,35306.41234,61156,3,3,3,0,3,3,4,4,0,4,4,0,64,64,32.69950787,32.69950787,30,136,72.4,58.0585911,3370.8,0,0,0,0,0,1,90.5,30,136,64,2,60,2,272,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
53,30811,2,2,88,120,44,44,44,0,60,60,60,0,6750.83574,129.8237642,10270.33333,17783.54299,30805,3,3,3,0,3,3,3,3,0,3,3,0,40,64,64.91188212,64.91188212,44,60,50.4,8.76356092,76.8,0,0,0,0,0,1,63,44,60,40,2,88,2,120,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
53,155,2,2,64,96,32,32,32,0,48,48,48,0,1032258.065,25806.45161,51.66666667,86.03100216,151,1,1,1,0,1,1,3,3,0,3,3,0,40,40,12903.22581,12903.22581,32,48,38.4,8.76356092,76.8,0,0,0,0,0,1,48,32,48,40,2,64,2,96,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
53,139,2,2,62,94,31,31,31,0,47,47,47,0,1122302.158,28776.97842,46.33333333,74.19119445,132,3,3,3,0,3,3,4,4,0,4,4,0,64,64,14388.48921,14388.48921,31,47,37.4,8.76356092,76.8,0,0,0,0,0,1,46.75,31,47,64,2,62,2,94,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
443,234318,3,2,18,37,6,6,6,0,37,0,18.5,26.1629509,234.7237515,21.33852286,58579.5,117059.0085,234168,3,150,75,101.8233765,147,3,234205,234205,0,234205,234205,0,60,64,12.80311372,8.535409145,0,37,10.16666667,13.36288392,178.5666667,1,0,0,0,0,0,12.2,6,18.5,60,3,18,2,37,0,65,2,20,0,0,0,0,0,0,0,0,BENIGN
22,65,1,1,0,0,0,0,0,0,0,0,0,0,0,30769.23077,65,0,65,65,0,0,0,0,0,0,0,0,0,0,0,32,32,15384.61538,15384.61538,0,0,0,0,0,0,0,0,1,1,1,0,0,0,32,1,0,1,0,259,247,0,32,0,0,0,0,0,0,0,0,SSH-Patator
80,119090800,29,20,3551,1802,458,0,122.4482759,192.7788493,224,0,90.1,106.4493455,44.94889614,0.411450759,2481058.333,4215996.821,10135991,9,119090800,4253242.857,4927330.143,10244007,133,116030375,6106861.842,4992933.717,10326949,147101,0,600,412,0.243511673,0.167939085,0,458,107.06,161.6220598,26121.6902,0,0,1,0,0,0,109.244898,122.4482759,90.1,600,29,3551,20,1802,29200,512,28,20,453314.1818,1006417.083,3487750,146868,10094301.82,14158.21592,10135991,10082989,BENIGN
53,66656,4,2,192,242,48,48,48,0,121,121,121,0,6511.041767,90.0144023,13331.2,27008.67232,61480,3,61487,20495.66667,35493.47383,61480,3,3,3,0,3,3,0,128,64,60.00960154,30.00480077,48,121,68.85714286,35.62035266,1268.809524,0,0,0,0,0,0,80.33333333,48,121,128,4,192,2,242,-1,-1,3,32,0,0,0,0,0,0,0,0,BENIGN
80,5314355,4,0,24,0,6,6,6,0,0,0,0,0,4.516070153,0.752678359,1771451.667,3068240.826,5314351,1,5314355,1771451.667,3068240.826,5314351,1,0,0,0,0,0,0,80,0,0.752678359,0,6,6,6,0,0,0,0,0,1,0,0,7.5,6,0,80,4,24,0,0,256,-1,3,20,4,0,4,4,5314351,0,5314351,5314351,DDoS
80,5498603,3,1,0,0,0,0,0,0,0,0,0,0,0,0.727457501,1832867.667,3173845.709,5497709,158,5498603,2749301.5,3886835.161,5497709,894,0,0,0,0,0,0,104,40,0.545593126,0.181864375,0,0,0,0,0,0,0,1,0,0,0,0,0,0,104,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack - XSS
