Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,76984,7,10,1194,5708,398.959,10.812,170.513,86.599,791.087,70.978,570.827,135.398,89654.993245,220.825107,4528.471,2146.757,13792.609,776.913,54316.515,7759.502,3779.064,26656.982,371.092,65505.207,6550.521,3009.551,13978.638,1050.165,0,140,200,90.927985,129.897121,10.812,791.087,406.0,110.999,12320.717,0,0,0,1,0,1.429,406.0,170.513,570.827,140,7,1194,10,5708,16364,9719,4,20,2634.953,1148.747,3925.661,870.592,24876.015,9687.198,29324.73,20440.195,BENIGN
80,76781,8,7,3052,3150,951.828,83.884,381.506,161.239,818.56,86.528,450.056,138.793,80775.191779,195.360831,5118.733,1121.784,20936.549,93.439,53857.268,6732.159,3480.18,13797.803,1567.861,45899.277,6557.04,2133.649,21163.506,782.517,0,160,140,104.192443,91.168388,83.884,951.828,413.467,150.016,22504.796,0,1,0,1,0,0.875,413.467,381.506,450.056,160,8,3052,7,3150,3569,9970,7,20,68.728,23.628,120.264,27.445,23466.565,7870.907,28167.836,17316.746,BENIGN
8080,98367,10,4,3600,2526,745.626,76.908,360.036,222.71,946.751,164.226,631.491,115.717,62276.983135,142.324153,7026.214,4308.738,24376.002,882.55,85764.471,8576.447,5829.057,16159.567,250.307,60208.89,15052.223,8783.957,29207.654,4020.507,0,200,80,101.66011,40.664044,76.908,946.751,437.571,169.214,28633.25,0,0,0,1,0,0.4,437.571,360.036,631.491,200,10,3600,4,2526,13230,10740,9,20,4281.205,490.282,5853.164,3497.974,49953.596,16919.308,70137.028,21182.155,BENIGN
22,10553,10,0,4654,0,973.119,45.589,465.381,152.928,0.0,0.0,0.0,0.0,441012.034493,947.597839,1055.3,363.3,3791.677,148.623,10523.577,1052.358,257.306,3773.407,105.664,0.0,0.0,0.0,0.0,0.0,0,200,0,947.597839,0.0,0.0,973.119,465.4,76.464,5846.73,0,0,0,1,0,0.0,465.4,465.381,0.0,200,10,4654,0,0,7674,9905,4,20,230.107,74.26,369.479,178.034,3789.269,752.042,4615.546,1024.243,BENIGN
80,19250,4,5,1483,1599,676.541,106.883,370.658,81.506,545.327,85.11,319.891,81.708,160103.896104,467.532468,2138.889,534.951,5512.636,511.623,17230.026,4307.506,3413.254,15353.959,382.539,14726.571,2945.314,718.38,8913.112,652.93,1,80,100,207.792208,259.74026,85.11,676.541,342.444,81.607,6659.641,0,1,0,1,0,1.25,342.444,370.658,319.891,80,4,1483,5,1599,11228,9024,3,20,787.928,365.607,1106.558,345.014,4594.858,1149.513,7373.065,1428.196,BENIGN
53,94205,9,4,2448,1093,403.642,59.732,272.031,72.007,535.206,6.16,273.238,155.814,37588.238416,137.996922,7246.538,4754.897,30007.671,1964.866,75938.396,8437.6,1078.065,24837.823,2056.724,78732.688,19683.172,10897.551,36944.391,3706.465,0,180,80,95.53633,42.460591,6.16,535.206,272.385,113.911,12975.615,0,0,0,1,0,0.444,272.385,272.031,273.238,180,9,2448,4,1093,5236,9834,6,20,4189.479,659.149,7184.805,1114.643,42069.415,13365.463,56593.05,15885.37,BENIGN
53,148738,9,9,3734,3236,901.171,99.037,414.876,200.957,776.321,110.009,359.566,144.521,46860.923234,121.018166,8263.222,3722.694,33416.373,2334.514,107324.428,11924.936,6390.718,20830.503,3243.073,146493.76,16277.084,9425.876,46981.104,3137.75,0,180,180,60.509083,60.509083,99.037,901.171,387.222,172.739,29838.702,0,0,0,1,0,1.0,387.222,414.876,359.566,180,9,3734,9,3236,16878,6141,5,20,4046.889,1258.71,5787.593,2154.62,24953.655,2619.417,35483.556,20071.648,BENIGN
443,60550,7,5,2303,2247,721.323,116.134,328.978,164.408,992.644,57.855,449.454,276.706,75144.508671,198.18332,5045.833,1365.312,15097.964,906.621,43680.396,6240.057,3822.203,18947.897,1432.099,57250.286,11450.057,6074.491,26350.768,1736.157,0,140,100,115.606936,82.576383,57.855,992.644,379.167,220.557,48645.507,1,0,0,1,0,0.714,379.167,328.978,449.454,140,7,2303,5,2247,5752,6467,5,20,1570.947,336.512,2013.93,239.617,31849.266,13407.1,33725.519,12813.296,BENIGN
53,190057,4,1,1767,380,736.386,62.632,441.798,107.785,642.153,131.518,379.735,91.878,11296.611017,26.307897,38011.4,21897.623,93519.667,8915.097,175252.842,43813.211,18013.723,97211.238,3763.254,147722.298,147722.298,116001.674,552720.855,24519.43,0,80,20,21.046318,5.261579,62.632,736.386,429.4,99.832,9966.357,0,0,0,1,0,0.25,429.4,441.798,379.735,80,4,1767,1,380,11550,3792,3,20,4583.85,1448.887,5370.39,2411.187,56923.294,19825.388,64248.626,29176.558,BENIGN
443,276790,10,0,1444,0,355.97,55.736,144.378,50.452,0.0,0.0,0.0,0.0,5216.951479,36.128473,27679.0,13179.145,45786.97,4960.654,206333.93,20633.393,12726.661,81777.682,3881.671,0.0,0.0,0.0,0.0,0.0,0,200,0,36.128473,0.0,0.0,355.97,144.4,25.226,636.358,0,0,0,1,0,0.0,144.4,144.378,0.0,200,10,1444,0,0,11987,2858,7,20,13613.675,3559.559,23011.814,9215.134,45009.036,8655.599,67527.232,35223.832,BENIGN
22,26194,3,10,1352,1831,884.915,99.576,450.536,150.429,295.384,23.769,183.13,49.017,121516.377796,496.296862,2014.923,561.568,8156.543,379.556,19085.783,6361.928,2120.669,23155.89,1655.814,15740.17,1574.017,954.046,3394.826,459.544,0,60,200,114.530045,381.766817,23.769,884.915,244.846,99.723,9944.733,0,0,1,1,0,3.333,244.846,450.536,183.13,60,3,1352,10,1831,10810,7658,2,20,1300.562,90.441,1703.345,637.65,12428.416,4390.34,20559.246,2243.152,BENIGN
