Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,192539,11,6,1665,2585,338.713,45.697,151.334,43.946,718.878,50.89,430.798,100.332,22073.450054,88.2938,11325.824,10330.612,54868.368,1438.196,143367.778,13033.434,2430.027,34126.731,3373.837,153083.009,25513.835,16381.562,59260.057,5415.791,1,220,120,57.131282,31.162518,45.697,718.878,250.0,72.139,5204.043,1,0,1,1,0,0.545,250.0,151.334,430.798,220,11,1665,6,2585,8568,5548,4,20,2268.677,625.558,3455.791,707.036,93299.194,7172.683,120629.851,30036.685,BENIGN
53,85639,2,6,564,3893,675.551,36.198,281.779,201.48,1131.112,27.312,648.82,195.55,52044.045353,93.415383,10704.875,5082.59,43153.736,690.181,81566.015,40783.008,7766.839,94867.385,11956.621,70957.474,11826.246,6690.562,41121.058,2609.972,1,40,120,23.353846,70.061537,27.312,1131.112,557.125,198.515,39408.242,0,0,0,1,0,3.0,557.125,281.779,648.82,40,2,564,6,3893,9998,2995,1,20,3885.816,416.497,6194.469,2003.445,26710.047,6584.119,33878.742,23855.647,BENIGN
443,29412,10,7,4530,4387,707.971,119.241,453.018,160.731,995.186,51.417,626.644,161.839,303175.574595,577.995376,1730.118,1607.186,4717.278,433.159,28276.892,2827.689,1338.675,8697.057,381.914,26795.721,3827.96,2323.397,13846.369,427.533,0,200,140,339.99728,237.998096,51.417,995.186,524.529,161.285,26012.853,0,1,1,0,0,0.7,524.529,453.018,626.644,200,10,4530,7,4387,6568,10632,8,20,854.53,105.298,1304.288,358.486,13261.457,3085.386,19549.41,1478.839,BENIGN
443,44351,9,11,3335,6674,821.045,126.602,370.55,141.251,1006.572,174.11,606.751,215.156,225676.985863,450.948118,2217.55,1963.675,7185.511,614.815,43590.901,4843.433,903.252,11525.309,1400.764,31972.095,2906.554,1616.946,7554.643,656.551,0,180,220,202.926653,248.021465,126.602,1006.572,500.45,178.204,31756.543,0,1,0,1,0,1.222,500.45,370.55,606.751,180,9,3335,11,6674,7161,5018,4,20,1775.414,865.834,2097.076,1017.915,5985.191,617.424,7895.891,903.781,BENIGN
80,117904,8,2,1832,1181,306.631,83.053,229.037,33.355,846.101,15.634,590.315,128.305,25554.68856,84.814765,11790.4,5003.174,34455.391,3505.744,108607.802,13575.975,10163.685,44722.667,2053.658,74025.384,37012.692,27636.351,75599.781,10167.622,0,160,40,67.851812,16.962953,15.634,846.101,301.3,80.83,6533.511,1,0,0,1,0,0.25,301.3,229.037,590.315,160,8,1832,2,1181,10103,5023,3,20,4757.578,1008.989,6299.023,1571.8,32183.873,14318.901,50124.147,7308.787,BENIGN
8080,67666,7,4,140,239,46.774,7.863,20.0,5.823,85.84,13.315,59.782,13.247,5601.040404,162.563178,6151.455,5772.098,12580.531,1805.308,48591.71,6941.673,2050.978,17853.405,2081.714,67320.909,16830.227,11599.921,35115.567,2934.241,0,140,80,103.449295,59.113883,7.863,85.84,34.455,9.535,90.909,1,1,0,1,0,0.571,34.455,20.0,59.782,140,7,140,4,239,9841,5509,4,20,1100.484,195.805,1795.85,665.734,29590.849,8587.027,45751.222,16268.216,BENIGN
80,24300,1,4,383,991,778.454,38.294,383.193,197.218,362.442,74.505,247.672,70.207,56543.209877,205.761317,4860.0,3234.485,17927.472,1168.319,17132.413,17132.413,9335.989,42283.741,2348.307,20612.008,5153.002,1039.252,12549.697,664.953,0,20,80,41.152263,164.609053,38.294,778.454,274.8,133.712,17878.965,0,0,1,1,0,4.0,274.8,383.193,247.672,20,1,383,4,991,12398,9130,1,20,1209.248,276.072,2044.774,859.549,11769.195,1761.741,12789.604,9839.86,BENIGN
80,54389,9,7,4980,3879,800.283,156.217,553.368,128.322,1163.385,171.66,554.073,324.957,162882.200445,294.177131,3399.312,1081.908,12697.76,417.256,42532.815,4725.868,978.211,14276.674,1268.706,43919.724,6274.246,1206.268,10928.904,702.366,0,180,140,165.474636,128.702495,156.217,1163.385,553.688,226.639,51365.45,0,1,1,1,0,0.778,553.688,553.368,554.073,180,9,4980,7,3879,8884,2293,5,20,108.273,9.837,140.415,23.275,13193.529,3757.877,21018.43,11354.294,BENIGN
22,103590,6,9,1257,3652,282.668,69.674,209.539,31.899,829.973,94.449,405.793,153.419,47388.744087,144.801622,6906.0,2283.403,30079.454,1162.758,93711.103,15618.517,4713.931,31604.542,484.928,61982.15,6886.906,3024.798,25743.398,1055.877,1,120,180,57.920649,86.880973,69.674,829.973,327.267,92.659,8585.674,0,0,0,1,0,1.5,327.267,209.539,405.793,120,6,1257,9,3652,6432,15042,5,20,3581.657,827.563,6117.269,476.032,58134.297,22577.866,80865.784,25187.069,BENIGN
3389,130335,13,10,6294,1199,722.737,32.835,484.131,132.666,242.24,43.419,119.862,33.58,57490.313423,176.468332,5666.739,4247.738,21627.311,661.14,117943.807,9072.601,6925.101,30305.863,2091.91,104814.37,10481.437,2135.351,33466.44,791.305,0,260,200,99.74297,76.725362,32.835,722.737,325.783,83.123,6909.439,0,0,0,1,0,0.769,325.783,484.131,119.862,260,13,6294,10,1199,7659,0,7,20,3444.85,384.875,5984.305,931.552,66565.281,24517.977,71066.6,31442.635,BENIGN
