Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,105650060,16,3,2541,6,231,0,158.8125,110.5828309,6,0,2.0,3.464101615,24.10788976,0.179838989,5869447.778,12500000.0,51300000,58,106000000,7043329.067,13500000.0,51300000,226,103000000,51300000.0,28100000.0,71200000,31500000,0,536,100,0.151443359,0.02839563,0,231,127.35,117.5733925,13823.50263,0,0,1,0,0,0,134.0526316,158.8125,2.0,536,16,2541,3,6,29200,0,11,32,4705698.5,6654226.243,9410947,450,19200000.0,18800000.0,51300000,5830077,DoS slowloris
80,97797116,9,5,62,11607,20,0,6.888888889,5.30199124,7300,0,2321.4,3346.363967,119.318447,0.143153506,7522855.077,25400000.0,91800000,0,97700000,12200000.0,32200000.0,91800000,0,61485,15371.25,29343.00015,59374,179,0,192,112,0.092027254,0.051126252,0,7300,778.3333333,2115.43213,4475053.095,0,0,0,1,0,0,833.9285714,6.888888889,2321.4,192,9,62,5,11607,256,229,7,20,6031.0,0.0,6031,6031,48900000.0,60700000.0,91800000,5943845,DDoS
22,99,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,20202.0202,99.0,0.0,99,99,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,10101.0101,10101.0101,0,0,0.0,0.0,0.0,0,0,0,1,1,1,0.0,0.0,0.0,32,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
80,3968623,9,1,924,0,231,0,102.6666667,121.7476899,0,0,0.0,0.0,232.8263481,2.519765672,440958.1111,664304.1488,2004044,120,3968623,496077.875,687817.5252,2004044,338,0,0.0,0.0,0,0,0,312,40,2.267789105,0.251976567,0,231,84.0,116.5452702,13582.8,0,0,1,0,0,0,92.4,102.6666667,0.0,312,9,924,1,0,29200,28960,4,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
80,3003640,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.998788137,1501820.0,710128.9556,2003957,999683,3003640,1501820.0,710128.9556,2003957,999683,0,0.0,0.0,0,0,0,120,0,0.998788137,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,120,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
51720,41,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,292682.9268,48780.4878,41.0,0.0,41,41,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,20,20,24390.2439,24390.2439,6,6,6.0,0.0,0.0,0,0,0,1,1,1,9.0,6.0,6.0,20,1,6,1,6,237,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Bot
80,10577312,10,6,274,11680,274,0,27.4,86.64640789,10184,0,1946.666667,4076.169705,1130.154807,1.51267165,705154.1333,1859064.955,5571415,1,5597005,621889.4444,1863490.776,5591197,1,10600000,2115439.2,2897636.141,5571415,195,0,340,200,0.945419782,0.567251869,0,10184,703.1764706,2468.326463,6092635.529,0,0,1,0,0,0,747.125,27.4,1946.666667,340,10,274,6,11680,29200,235,1,32,860.0,0.0,860,860,5571415.0,0.0,5571415,5571415,DoS GoldenEye
80,78,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,25641.02564,78.0,0.0,78,78,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,12820.51282,12820.51282,0,0,0.0,0.0,0.0,0,0,0,1,1,1,0.0,0.0,0.0,32,1,0,1,0,260,236,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack - Sql Injection
80,10435069,10,6,1376,11632,344,0,137.6,177.6408361,8688,0,1938.666667,3501.996383,1246.565787,1.533291251,695671.2667,1673337.902,4999499,16,5435570,603952.2222,1508364.208,4607261,16,10400000,2087002.6,2506913.491,5002451,184,0,328,200,0.958307032,0.574984219,0,8688,765.1764706,2156.24663,4649399.529,0,0,1,0,0,0,813.0,137.6,1938.666667,328,10,1376,6,11632,29200,235,4,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS GoldenEye
80,109380145,4,3,535,0,520,0,133.75,257.5970691,0,0,0.0,0.0,4.891198489,0.06399699,18200000.0,44700000.0,109000000,49,109000000,36500000.0,63100000.0,109000000,658,109000000,54700000.0,77300000.0,109000000,5265,0,136,104,0.036569708,0.027427281,0,520,66.875,183.1653722,33549.55357,0,0,1,0,0,0,76.42857143,133.75,0.0,136,4,535,3,0,29200,235,2,32,5335.0,0.0,5335,5335,109000000.0,0.0,109000000,109000000,DoS Slowhttptest
22,11717115,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,405.6459291,4.523297757,225329.1346,610792.4827,2415333,3,9898512,494925.6,878099.8453,2475243,311,11700000,377965.8387,758085.2106,2415333,3,0,680,1032,1.792250055,2.731047702,0,976,88.01851852,189.5902723,35944.47135,0,0,1,0,0,1,89.67924528,95.61904762,85.78125,680,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
